"symbol","name","protocol","icon","mainnet","testnet","decimals"
"mSQ",,"Mirror","https://whitelist.mirror.finance/icon/SQ.png","terra1u43zu5amjlsgty5j64445fr9yglhm53m576ugh",,
"mTSLA",,"Mirror","https://whitelist.mirror.finance/icon/TSLA.png","terra14y5affaarufk3uscy2vr6pe6w6zqf2wpjzn5sh","terra1nslem9lgwx53rvgqwd8hgq7pepsry6yr3wsen4",
"mTWTR",,"Mirror","https://whitelist.mirror.finance/icon/TWTR.png","terra1cc3enj9qgchlrj34cnzhwuclc4vl2z3jl7tkqg","terra1ax7mhqahj6vcqnnl675nqq2g9wghzuecy923vy",
"mUSO",,"Mirror","https://whitelist.mirror.finance/icon/USO.png","terra1lvmx8fsagy70tv0fhmfzdw9h6s3sy4prz38ugf","terra1fucmfp8x4mpzsydjaxyv26hrkdg4vpdzdvf647",
"mVIXY",,"Mirror","https://whitelist.mirror.finance/icon/VIXY.png","terra19cmt6vzvhnnnfsmccaaxzy2uaj06zjktu6yzjx","terra18gphn8r437p2xmjpw7a79hgsglf5y4t0x7s5ee",
"mVIXY (Delisted)",,"Mirror","https://whitelist.mirror.finance/icon/VIXY.png","terra1zp3a6q6q4953cz376906g5qfmxnlg77hx3te45","terra1z0k7nx0vl85hwpv3e3hu2cyfkwq07fl7nqchvd",
"LOTA","LOTA Token","LoTerra","https://loterra.io/LOTA.png","terra1ez46kxtulsdv07538fh5ra5xj8l68mu8eg24vr","terra1v000amr8a59r88p33ec2kk9xqe047g7zzqqaf4",
"MINE",,"Pylon","https://assets.pylon.rocks/logo/MINE.png","terra1kcthelkax4j9x8d3ny6sdag0qmxxynl3qtcrpy","terra1lqm5tutr5xcw9d5vc4457exa3ghd4sr9mzwdex",
"SPEC",,"Spectrum","https://terra.spec.finance/assets/SPEC.png","terra1s5eczhe0h0jutf46re52x5z4r03c8hupacxmdr","terra1kvsxd94ue6f4rtchv2l6me5k07uh26s7637cza",
"DAN (Meme Token)",,"Dan","https://finder.extraterrestrial.money/images/DAN100.png","terra1vru3mk2ne3jqpwg24wm5mg2356cg5ead0tae2s",,
"LOOP",,"LOOP","https://loop.markets/token/logo2.png","terra1nef5jf6c7js9x6gkntlehgywvjlpytm7pcgkn4",,
"LOOPR",,"LOOP","https://loop.markets/token/logo3.png","terra1jx4lmmke2srcvpjeereetc9hgegp4g5j0p9r2q",,
"PylonDP",,"LOOP","https://loop.markets/token/logo2.png","terra1kdfcxec8qu3qd3kt02h4ysr3a2ez8k6cj2093n",,
"TWD",,"Terraworld","https://finder.extraterrestrial.money/images/TWD100.png","terra19djkaepjjswucys4npd5ltaxgsntl7jf0xz7w6",,
"mKSU",,"Mirror","https://whitelist.mirror.finance/icon/KSU.png",,"terra1qhkjjlqq2lyf2evzserdaqx55nugksjqdpxvru",
"mKSU (Delisted)",,"Mirror","https://whitelist.mirror.finance/icon/KSU.png",,"terra1374w7fkm7tqhd9dt2r5shjk8ly2kum443uennt",
"mLRMR",,"Mirror","https://whitelist.mirror.finance/icon/LRMR.png",,"terra1anw5z9u5l35vxhhqljuygmkupwmafcv0m86kum",
"mLRMR (Delisted)",,"Mirror","https://whitelist.mirror.finance/icon/LRMR.png",,"terra19jdmle3zl99gugmptx8auckc9c2xw7nspyxjvx",
"mRXT (Delisted)",,"Mirror","https://whitelist.mirror.finance/icon/RXT.png",,"terra14vmf4tzg23fxnt9q5wavlp4wtvzzap82hdq402",
"mRXT",,"Mirror","https://whitelist.mirror.finance/icon/RXT.png",,"terra1hvmzhnhxnyhjfnctntnn49a35w6hvygmxvjt7q",
"mWVFC (Delisted)",,"Mirror","https://whitelist.mirror.finance/icon/WVFC.png",,"terra18py95akdje8q8aaukhx65dplh9342m0j884wt4",
"mWVFC",,"Mirror","https://whitelist.mirror.finance/icon/WVFC.png",,"terra1090l5p5v794dpyzr07da72cyexhuc4zag5cuer",
